CodigoUnico	Ruta	Descripcion
200249566	IMAGENES JAZZ\\BENABI\\24956.jpg	BNB VASO TERMICO 600ml TAPA ACRIL. 24956
200229360	IMAGENES JAZZ\\BENABI\\200229360.jpg	BNB EXPRIMIDOR DE FRUTAS MANUAL
200227243	IMAGENES JAZZ\\BENABI\\200227243.jpg	BNB RALLADOR 4 CARAS 21cm
15812900	IMAGENES JAZZ\\GRACIELA\\15812900.jpg	GRACIELA KIT CAÑONES X12
15817903	IMAGENES JAZZ\\GRACIELA\\15817903.jpg	GRACIELA MOLDE PAN N°2 31cm CON TAPA
15817904	IMAGENES JAZZ\\GRACIELA\\15817903.jpg	GRACIELA MOLDE PAN N°1 26cm CON TAPA
15821806	IMAGENES JAZZ\\GRACIELA\\158218065.jpg	GRACIELA ESPATULA PASTELERA
15852000	IMAGENES JAZZ\\GRACIELA\\15852000.jpg	GRACIELA KIT CORTANTES PARA FACTURAS
15852624A	IMAGENES JAZZ\\GRACIELA\\arostimbal.jpg	GRACIELA ARO PARA TIMBAL 24cm
15852624B	IMAGENES JAZZ\\GRACIELA\\arostimbal.jpg	GRACIELA ARO PARA TIMBAL 26cm
15852624C	IMAGENES JAZZ\\GRACIELA\\arostimbal.jpg	GRACIELA ARO PARA TIMBAL 28cm
15852630	IMAGENES JAZZ\\GRACIELA\\arostimbal.jpg	GRACIELA ARO PARA TIMBAL INDIV. FIGACITAS
15852650	IMAGENES JAZZ\\GRACIELA\\15852650.jpg	GRACIELA MOLDE PARA PAN BAGUETTE
210214692	IMAGENES JAZZ\\HUDSON\\CREMA\\210214692.jpg	HUDSON JUEGO CACEROLAS X5 CERAMICO CREMA
210214708	IMAGENES JAZZ\\HUDSON\\CREMA\\210214708.jpg	HUDSON CACEROLA ANTIADH. CERAM. CREMA 18
210214715	IMAGENES JAZZ\\HUDSON\\CREMA\\CACEROLAS.jpg	HUDSON CACEROLA ANTIADH. CERAM. CREMA 20
210214722	IMAGENES JAZZ\\HUDSON\\CREMA\\210214722.jpg	HUDSON CACEROLA ANTIADH. CERAM. CREMA 24
210214739	IMAGENES JAZZ\\HUDSON\\CREMA\\201214739.jpg	HUDSON CACEROLA ANTIADH. CERAM. CREMA 26
210214746	IMAGENES JAZZ\\HUDSON\\CREMA\\SARTENS.jpg	HUDSON SARTEN CERAMICO CREMA N°20
210214753	IMAGENES JAZZ\\HUDSON\\CREMA\\210214753.jpg	HUDSON SARTEN CERAMICO CREMA N°22
210214760	IMAGENES JAZZ\\HUDSON\\CREMA\\210214760.jpg	HUDSON SARTEN CERAMICO CREMA N°24
210214777	IMAGENES JAZZ\\HUDSON\\CREMA\\SARTENS.jpg	HUDSON SARTEN CERAMICO CREMA N°26
210214678	IMAGENES JAZZ\\HUDSON\\CERAMICO\\210214678.jpg	HUDSON JARRO ANTIADH. CERAMICO GRANITO N°14
210214791	IMAGENES JAZZ\\HUDSON\\CREMA\\210214791.jpg	HUDSON BIFERA CERAMICO CREMA 26
